ID	Coyote	Fox	Site	Block	Year	WolfPresent	EdgeDistance	Zone	Coyote:FoxRatio	Fox:CoyoteRatio	CoyotePrice	FoxPrice
1	4	5	Manitoba	Bloodvein	1996	Wolf	31.90	Transition	0.31	3.18	37	25
2	8	30	Manitoba	Bonnet	1996	Wolf	51.90	Transition	0.28	3.54	37	25
3	0	9	Manitoba	BreensRiver	1996	Wolf	40.32	Transition	0.58	1.72	37	25
4	0	11	Manitoba	Brochet	1996	Wolf	506.95	Wolf	0.01	199.50	37	25
5	15	14	Manitoba	Bullhead	1996	NoWolf	18.68	NoWolf	0.51	1.95	37	25
6	8	5	Manitoba	Camperduck	1996	Wolf	55.99	Transition	1.46	0.69	37	25
7	0	29	Manitoba	Churchill	1996	Wolf	538.98	Wolf	0.00	517.00	37	25
8	0	42	Manitoba	Cormorant	1996	Wolf	115.50	Wolf	0.27	3.72	37	25
9	2	10	Manitoba	Cranberry	1996	Wolf	178.71	Wolf	0.50	2.01	37	25
10	0	28	Manitoba	CrossLake	1996	Wolf	116.73	Wolf	0.06	15.80	37	25
11	42	35	Manitoba	DeerShoal	1996	Wolf	104.39	Wolf	2.40	0.42	37	25
12	55	34	Manitoba	DuckMountain	1996	Wolf	37.65	Transition	5.25	0.19	37	25
13	0	1	Manitoba	Easterville	1996	Wolf	75.87	Transition	0.49	2.04	37	25
14	3	4	Manitoba	FlinFlon	1996	Wolf	226.00	Wolf	0.33	3.08	37	25
15	0	12	Manitoba	GodsLake	1996	Wolf	304.55	Wolf	0.02	64.33	37	25
16	20	18	Manitoba	GrandRapids	1996	Wolf	8.64	Transition	0.63	1.58	37	25
17	18	7	Manitoba	Gypsumville	1996	Wolf	25.99	Transition	1.40	0.71	37	25
18	4	9	Manitoba	HoleRiver	1996	Wolf	42.44	Transition	0.28	3.52	37	25
19	0	25	Manitoba	IndianLake	1996	Wolf	410.77	Wolf	0.07	15.13	37	25
20	0	8	Manitoba	IslandLake	1996	Wolf	200.28	Wolf	na	na	37	25
21	0	12	Manitoba	Limestone	1996	Wolf	473.39	Wolf	0.02	52.20	37	25
22	3	7	Manitoba	MooseLake	1996	Wolf	60.21	Transition	1.06	0.95	37	25
23	0	26	Manitoba	NelsonHouse	1996	Wolf	253.62	Wolf	0.05	19.94	37	25
24	0	23	Manitoba	NorwayHouse	1996	Wolf	52.77	Transition	0.11	9.15	37	25
25	0	6	Manitoba	OxfordLake	1996	Wolf	252.68	Wolf	na	na	37	25
26	0	2	Manitoba	Pauingassi	1996	Wolf	111.45	Wolf	0.22	4.50	37	25
27	0	21	Manitoba	Pikwitonei	1996	Wolf	224.26	Wolf	0.03	32.00	37	25
28	2	10	Manitoba	PoplarRiver	1996	Wolf	69.81	Transition	0.23	4.36	37	25
29	13	4	Manitoba	Porcupine	1996	Wolf	58.42	Transition	4.58	0.22	37	25
30	0	60	Manitoba	Pukatawagan	1996	Wolf	309.06	Wolf	0.17	5.83	37	25
31	0	12	Manitoba	Shamattawa	1996	Wolf	488.67	Wolf	0.03	34.00	37	25
32	0	18	Manitoba	Sherridon	1996	Wolf	223.31	Wolf	0.12	8.39	37	25
